substudy,source_dataset,source_stage,include_in_substudy_summary
Study1,Data_Transfer_to_Charite,any,TRUE
Study1,eu-cert-icd,any,TRUE
Study1,helios-rdb,any,TRUE
Study1,israeli-icd,any,TRUE
Study1,prose-icd,any,TRUE
Study1,prose-lvscd,any,TRUE
Study2,Data_Transfer_to_Charite,any,TRUE
Study3,Data_Transfer_to_Charite,any,TRUE
Study3,eu-cert-icd,any,TRUE
Study3,helios-rdb,any,TRUE
Study3,israeli-icd,any,TRUE
Study3,prose-icd,any,TRUE
Study3,prose-lvscd,any,TRUE
Study4,Data_Transfer_to_Charite,any,TRUE
Study5,Data_Transfer_to_Charite,any,TRUE
Study6,Data_Transfer_to_Charite,any,TRUE
Study7,Data_Transfer_to_Charite,any,TRUE
Study8,Data_Transfer_to_Charite,any,TRUE
Study9,Data_Transfer_to_Charite,any,TRUE
